"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"TO",1,8837,1451.32305408424,8768,1495.24551931229,0.970625248722862,-0.0298148288290062,0.0379926770091348,8768,0.021358941442919,17,1314,8,0.0481188398888047,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8488,1308.39848668631,8156,1281.36904490146,1.0210941897593,0.0208747873852231,0.219454476836712,8156,0.0221458006961758,10,2122,5,0.0923946024885688,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9217,1487.21429215819,9059,1538.6358755746,0.966579757931869,-0.0339914613051529,0.376377757353889,9059,0.0210130873490352,1,1516,8,0.04748874414853,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8325,1265.4336007167,8147,1199.84971014373,1.05466008785809,0.0532185234094619,-0.531725254880814,8147,0.0221580295651794,9,2021,5,0.105467220289898,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8168,1567.67974264229,8139,1614.94882509255,0.970730290820489,-0.029706613620004,0.458674682732572,8139,0.022168916694968,11,2223,5,0.0878223545428314,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9197,1860.20058846083,8633,2071.77475189828,0.897877815508856,-0.107721282845067,0.258453939683738,8633,0.0215252956502845,8,1617,2,NA,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,6307,3225.85374723186,6282,3449.22886780793,0.935239113107032,-0.0669530464449626,0.146629629838496,6282,0.0252337054701488,15,1415,10,0.043918694847986,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7666,1620.38270056005,8049,1330.26565498016,1.21808955564159,0.197283693384077,0.543682608761642,7666,0.0228426028070415,3,2223,13,0.121267812518167,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8393,1470.85799710371,8489,1538.4980583574,0.956035003823205,-0.0449607517232144,-0.122991883686823,8393,0.0218308871223992,2,1314,5,0.0513844392188657,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10186,1357.35680450926,9513,1338.79396647429,1.01386534336113,0.0137700988763921,0.0917658506136245,9513,0.0205055417306955,8,2223,8,0.122474487139159,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9055,1518.67030668962,8480,1523.59624946216,0.996766897546328,-0.00323834022195147,1.34519022443704,8480,0.0217186121381535,5,1617,5,0.443202630213959,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8415,1435.17156966909,8507,1515.52474917019,0.946979962191249,-0.0544773452688636,0.497252063857158,8415,0.0218023313389243,1,1213,5,0.0571530948893869,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9138,1523.49846283555,8670,1564.52545791007,0.973776716213155,-0.0265732457543924,1.38597688311473,8670,0.0214793159805948,5,1314,2,0.047481509605772,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9268,1574.8868713262,8937,1470.99971139643,1.07062350802989,0.0682411965446776,-0.00568630313734073,8937,0.0211560271991792,7,1819,5,0.112656872321337,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
