"Sigla","Cod_provincia_ISTAT","nM","mV","nF","fV","vr","logvr","sesso","minn","SE","Coort","Year","Grade","gamlssSE","Regioni","Provincia","TassoOccup_MeanM","TassoOccup_MeanF","TassoOccup_MeanT","ValAgg_Mean","AmmDonne_X2009","AmmDonne_X2010","AmmDonne_X2011","AmmDonne_X2012","AmmDonne_X2013","AmmDonne_X2014","AmmDonne_X2015","AmmDonne_X2016","AmmDonne_X2017","AmmDonne_X2018","AmmDonne_X2019","AmmDonne_X2020","AmmDonne_X2021","AmmDonne_X2022","AmmDonne_Mean","Filter"
"TO",1,9217,1771.4514353009,9062,1543.49124496095,1.14769127527233,0.137752337752028,2.65839945422798,9062,0.0210096088409663,1,1516,8,0.047592563400951,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9404,1475.50124205676,8978,1264.46939507271,1.16689359806286,0.154345173537437,2.32836516828604,8978,0.0211076651100462,7,1819,5,0.110439688955153,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,9184,1682.85256224899,8575,1476.69507188254,1.13960735313055,0.130683775999311,3.34001925037396,8575,0.0215979698862416,5,1617,5,0.443202630213959,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8407,1601.68541081899,8472,1378.15152947604,1.16219833346478,0.150313326709102,0.0159273783730107,8407,0.0218127022903201,2,1819,10,0.109016831175769,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,6287,2346.56686193533,6309,2305.01071620318,1.01802861281296,0.0178680246222947,0.0692873699404434,6287,0.0252236693939176,15,1415,10,0.0441720019898998,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7543,1603.70615760943,7691,1369.66475895232,1.17087495106184,0.157751290750926,1.13311756242616,7543,0.0230280912555784,13,2122,2,0.100921678469916,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8434,1767.2993040857,8516,1543.89362506402,1.14470276668991,0.1351450108957,1.92672302661518,8434,0.0217777594952219,2,1314,5,0.0515115005089612,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8959,1479.76870126056,8663,1240.96453669052,1.19243431823354,0.175996863214014,3.91049125046078,8663,0.0214879922388824,6,1718,5,0.0152164566011376,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7396,2019.13446126648,7230,1881.06595564842,1.07339907737072,0.0708303212211094,1.06386928909007,7230,0.0235212743230775,18,1617,10,0.377964473009227,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,6562,1548.90952406913,7255,1206.84985885213,1.28343183098381,0.249537608102298,0.800684631666902,6562,0.0246894765633388,1,2021,13,0.101579810951176,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8435,1699.41546230494,8140,1385.25218767546,1.2267913939603,0.204402138202626,0.642717729705126,8140,0.0221675549260736,18,1213,6,0.0512888223729086,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8672,1514.61376112901,8432,1349.88798728039,1.12202921679486,0.115138846685593,1.24385165699674,8432,0.0217803420934516,9,2021,5,0.104098306216172,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,7806,2146.071292945,7370,1845.55075053423,1.16283515493886,0.150861122251131,2.78934710233187,7370,0.0232967989485316,14,2223,2,0.0905631308660919,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,10174,1586.73030385661,9508,1422.45800824872,1.11548481196302,0.109289119345512,0.161788453558773,9508,0.0205109326769018,3,1718,8,0.0156740798612216,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
"TO",1,8517,1453.77204745038,8184,1119.2450247131,1.29888631653559,0.261507217719818,1.29636254205533,8184,0.0221078844142691,5,2122,10,0.226581741793741,"Piemonte","Torino",70.097542,57.2060609333333,63.5930834666667,27946.3446153846,22.7,22.8,23.3,23.7,23.9,30.3,30.8,32.2,33.1,33.3,35.1,35.3,33.9,34.3,29.6214285714286,1
